Gene	Category	DMSO	Size	rho	p	FDR	depleted	enriched
PPP2R1A	Essential	-1.8566717968412	10	1.90194591603352e-10	4.42799199419047e-06	4.95049504950495e-05	19	NA
EIF4A3	Essential	-2.46445908496063	10	2.50574155868806e-10	4.42799199419047e-06	4.95049504950495e-05	20	NA
PSMB3	Essential	-2.251899835626	10	3.21168557911183e-10	4.42799199419047e-06	4.95049504950495e-05	21	NA
SMARCA4	Other	0.769272534121929	10	3.27419259100251e-10	4.42799199419047e-06	4.95049504950495e-05	NA	7
PHF5A	Essential	-1.7822592274486	10	5.17215862934165e-10	4.42799199419047e-06	4.95049504950495e-05	22	NA
RPL32	Essential	-2.10255502578955	10	6.10755396501495e-10	4.42799199419047e-06	4.95049504950495e-05	23	NA
VCP	Essential	-2.23796741021757	10	6.63189395315539e-10	4.42799199419047e-06	4.95049504950495e-05	24	NA
PSMD1	Essential	-1.76628961654364	10	6.76309159058519e-10	4.42799199419047e-06	4.95049504950495e-05	25	NA
AURKA	Other	-2.06602916108442	10	8.77390967964532e-10	4.42799199419047e-06	4.95049504950495e-05	26	NA
RAN	Essential	-2.23014903780834	10	8.98361603691893e-10	4.42799199419047e-06	4.95049504950495e-05	27	NA
RPS13	Essential	-2.14274352474338	10	1.06734160509802e-09	4.42799199419047e-06	4.95049504950495e-05	28	NA
SMARCB1	Other	0.773134979347972	10	1.21379057916259e-09	4.42799199419047e-06	4.95049504950495e-05	NA	8
CHAF1A	Other	-1.74327671912283	10	1.21973665079917e-09	4.42799199419047e-06	4.95049504950495e-05	29	NA
POLE	Other	-2.05381136335443	10	1.55930352034994e-09	4.42799199419047e-06	4.95049504950495e-05	30	NA
OGT	Other	-1.48169312361727	10	1.78748244298722e-09	4.42799199419047e-06	4.95049504950495e-05	31	NA
RPL34	Essential	-1.9908918994382	10	2.12367533410874e-09	4.42799199419047e-06	4.95049504950495e-05	32	NA
CDC23	Other	-1.39492799143344	10	2.73644803984964e-09	4.42799199419047e-06	4.95049504950495e-05	33	NA
USP22	Other	0.626478851352026	10	3.45271808525734e-09	4.42799199419047e-06	4.95049504950495e-05	NA	9
CDC6	Other	-1.71233469977763	10	3.65501207326178e-09	4.42799199419047e-06	4.95049504950495e-05	34	NA
RPS15A	Essential	-2.11846517692335	10	3.80540475590383e-09	4.42799199419047e-06	4.95049504950495e-05	35	NA
MED12	Other	0.671730198616362	10	4.24113547359984e-09	4.42799199419047e-06	4.95049504950495e-05	NA	10
ATR	Other	-1.45737433331384	10	5.09338749665637e-09	4.42799199419047e-06	4.95049504950495e-05	36	NA
RPS14	Essential	-1.86724540133121	10	5.26084175501191e-09	4.42799199419047e-06	4.95049504950495e-05	37	NA
RPL35A	Essential	-1.74103158587631	10	5.85998666022447e-09	4.42799199419047e-06	4.95049504950495e-05	38	NA
RPL4	Essential	-1.67262690782772	10	8.95312298513936e-09	4.42799199419047e-06	4.95049504950495e-05	39	NA
CENPC	Other	-1.42106532374299	10	9.37552908937261e-09	4.42799199419047e-06	4.95049504950495e-05	40	NA
BUB1B	Other	-1.27179142514697	10	9.65143761955312e-09	4.42799199419047e-06	4.95049504950495e-05	41	NA
RPL10A	Essential	-1.70983016400972	10	1.39530447773617e-08	4.42799199419047e-06	4.95049504950495e-05	42	NA
PHB	Essential	-1.36234995419733	10	1.47472421944175e-08	4.42799199419047e-06	4.95049504950495e-05	43	NA
RPS26	Essential	-1.916763077505	10	1.49519439580162e-08	4.42799199419047e-06	4.95049504950495e-05	44	NA
RUVBL1	Essential	-1.74402949055775	10	1.52707166370021e-08	4.42799199419047e-06	4.95049504950495e-05	45	NA
EIF3G	Essential	-1.52970617349642	10	1.73756030164811e-08	4.42799199419047e-06	4.95049504950495e-05	46	NA
RPL13A	Essential	-1.2745653319388	10	1.89659079411464e-08	4.42799199419047e-06	4.95049504950495e-05	47	NA
MYC	Other	-1.1877672250188	10	2.11643402015522e-08	4.42799199419047e-06	4.95049504950495e-05	48	NA
HUWE1	Other	-1.17698971598688	10	2.41823074400389e-08	4.42799199419047e-06	4.95049504950495e-05	49	NA
ORC1	Other	-1.5913926606269	10	2.77420033307045e-08	4.42799199419047e-06	4.95049504950495e-05	50	NA
U2AF1	Essential	-1.90111336192332	10	3.35662204763146e-08	4.42799199419047e-06	4.95049504950495e-05	51	NA
PSMA2	Essential	-1.82613365514325	10	3.87279927366502e-08	4.42799199419047e-06	4.95049504950495e-05	52	NA
FTSJ3	Essential	-0.936915165216067	10	4.65262910642904e-08	4.42799199419047e-06	4.95049504950495e-05	53	NA
CDK1	Other	-1.75019389764101	10	5.12231728443532e-08	4.42799199419047e-06	4.95049504950495e-05	54	NA
CCT7	Essential	-1.4534808063381	10	5.43865408066904e-08	4.42799199419047e-06	4.95049504950495e-05	55	NA
TAF1	Other	-1.41538169226889	10	5.77052797786356e-08	4.42799199419047e-06	4.95049504950495e-05	56	NA
RPL7	Essential	-1.66559167633853	10	5.93084205459211e-08	4.42799199419047e-06	4.95049504950495e-05	57	NA
RPL26	Essential	-1.51085170738865	10	6.37602842616021e-08	4.42799199419047e-06	4.95049504950495e-05	58	NA
HCFC1	Other	-0.777839992772383	10	6.45115337955351e-08	4.42799199419047e-06	4.95049504950495e-05	59	NA
SMC1A	Other	-0.782851314376161	10	6.6758611923397e-08	4.42799199419047e-06	4.95049504950495e-05	60	NA
POLR2A	Other	-1.62194005226606	10	7.41111771766701e-08	4.42799199419047e-06	4.95049504950495e-05	61	NA
RPL23	Other	-1.65165287242653	10	7.73106464349938e-08	4.42799199419047e-06	4.95049504950495e-05	62	NA
RPS11	Essential	-1.93744905083974	10	8.07634852934372e-08	4.42799199419047e-06	4.95049504950495e-05	63	NA
SMARCC1	Other	0.655124026226026	10	8.94937594038885e-08	4.42799199419047e-06	4.95049504950495e-05	NA	11
ANAPC2	Other	-1.28516705533488	10	1.05601931290685e-07	4.42799199419047e-06	4.95049504950495e-05	64	NA
EEF2	Essential	-1.3621251436366	10	1.29170456045125e-07	4.42799199419047e-06	4.95049504950495e-05	65	NA
EIF3A	Essential	-1.04235408505593	10	1.46065254188023e-07	4.42799199419047e-06	4.95049504950495e-05	66	NA
PTPN23	Other	-0.800857805278046	10	1.49986781149792e-07	4.42799199419047e-06	4.95049504950495e-05	67	NA
RPLP0	Essential	-1.42349130476541	10	1.55555152394388e-07	4.42799199419047e-06	4.95049504950495e-05	68	NA
KAT5	Other	-1.31624842079508	10	1.65864735760467e-07	4.42799199419047e-06	4.95049504950495e-05	69	NA
HDAC2	Other	0.636655522065273	10	1.95958918902237e-07	4.42799199419047e-06	4.95049504950495e-05	NA	12
RNF138	Other	0.582718197859232	10	1.96636445187502e-07	4.42799199419047e-06	4.95049504950495e-05	NA	13
PSMB2	Essential	-1.66987026442702	10	2.12250191334046e-07	4.42799199419047e-06	4.95049504950495e-05	70	NA
XPO1	Essential	-1.21444730511515	10	2.16323968721594e-07	4.42799199419047e-06	4.95049504950495e-05	71	NA
RTF1	Other	-0.981324521291922	10	2.18801879837208e-07	4.42799199419047e-06	4.95049504950495e-05	72	NA
CNOT3	Other	-1.42896779172573	10	2.85102152040345e-07	4.42799199419047e-06	4.95049504950495e-05	73	NA
CDH2	Other	0.499236204689804	10	2.87375758428363e-07	4.42799199419047e-06	4.95049504950495e-05	NA	14
U2AF2	Essential	-1.1598081929763	10	2.93981027396411e-07	4.42799199419047e-06	4.95049504950495e-05	74	NA
RPL12	Essential	-1.51483607768849	10	2.94020119049497e-07	4.42799199419047e-06	4.95049504950495e-05	75	NA
RPS7	Essential	-1.48926027907092	10	2.95964693488776e-07	4.42799199419047e-06	4.95049504950495e-05	76	NA
CLTC	Essential	-1.29526018897552	10	3.012132296764e-07	4.42799199419047e-06	4.95049504950495e-05	77	NA
PPP4C	Other	-0.920505702979993	10	3.04992363737443e-07	4.42799199419047e-06	4.95049504950495e-05	78	NA
PSMD7	Essential	-1.32883896839366	10	3.80986845734037e-07	4.42799199419047e-06	4.95049504950495e-05	79	NA
PHF23	Other	0.550119924044748	10	4.18607374951241e-07	4.42799199419047e-06	4.95049504950495e-05	NA	15
CUL2	Other	-1.12717534438749	10	4.40464327513777e-07	4.42799199419047e-06	4.95049504950495e-05	80	NA
TRIM28	Other	0.501503246536204	10	4.59000064792255e-07	4.42799199419047e-06	4.95049504950495e-05	NA	16
ANAPC4	Other	-1.31175104458018	10	5.20685439061742e-07	4.42799199419047e-06	4.95049504950495e-05	81	NA
RPL37A	Essential	-1.65469124228745	10	5.34080943949729e-07	4.42799199419047e-06	4.95049504950495e-05	82	NA
UBE2I	Other	-1.24814599470275	10	5.66966605661472e-07	4.42799199419047e-06	4.95049504950495e-05	83	NA
PRPF19	Essential	-0.818216766754629	10	6.38590490549456e-07	4.42799199419047e-06	4.95049504950495e-05	84	NA
NUP93	Essential	-1.09975438230552	10	7.40774873784272e-07	1.32839759825714e-05	0.000145602795573675	85	NA
WEE1	Other	-1.59892211563083	10	7.47704702111486e-07	1.32839759825714e-05	0.000145602795573675	86	NA
HEATR1	Essential	-1.01234570584089	10	7.53746601209733e-07	2.21399599709524e-05	0.000219048453517918	87	NA
CABIN1	Other	-0.681947618363341	10	7.82012091568907e-07	2.21399599709524e-05	0.000219048453517918	88	NA
APOBEC1	Nonessential	-0.936161529856232	10	7.9782842659608e-07	2.21399599709524e-05	0.000219048453517918	89	NA
SDAD1	Essential	-1.04978219714349	10	8.11227990159273e-07	2.21399599709524e-05	0.000219048453517918	90	NA
HDAC3	Other	-0.667677570892101	10	8.22093097333751e-07	2.21399599709524e-05	0.000219048453517918	91	NA
CHD4	Essential	-1.44354333281116	10	8.27010695859021e-07	2.21399599709524e-05	0.000219048453517918	92	NA
ARID2	Other	0.590889565680646	10	8.95380989098188e-07	2.21399599709524e-05	0.000219048453517918	NA	17
CDC5L	Essential	-0.816907912118517	10	9.91822709612128e-07	2.21399599709524e-05	0.000219048453517918	93	NA
DMAP1	Other	-1.01756682891506	10	1.10282445321167e-06	2.21399599709524e-05	0.000219048453517918	94	NA
RPL5	Essential	-1.38781046575041	10	1.1400767266462e-06	2.21399599709524e-05	0.000219048453517918	95	NA
RPL27	Essential	-1.38559800375988	10	1.19909165551149e-06	2.21399599709524e-05	0.000219048453517918	96	NA
RPL18A	Essential	-1.30895810965171	10	1.4017984588925e-06	3.09959439593333e-05	0.000293673435140124	97	NA
CDC20	Other	-1.68035421696652	10	1.41967583971387e-06	3.09959439593333e-05	0.000293673435140124	98	NA
MGEA5	Other	0.613645534111794	10	1.45680625625628e-06	3.09959439593333e-05	0.000293673435140124	NA	18
PPP2CA	Other	-1.18175439896709	10	1.46073714792621e-06	3.09959439593333e-05	0.000293673435140124	99	NA
TAF5	Other	-1.00013875869668	10	1.52139501341882e-06	3.09959439593333e-05	0.000293673435140124	100	NA
USP8	Other	-0.888523714382806	10	1.62912041855768e-06	3.98519279477143e-05	0.000371287128712871	101	NA
VHL	Other	-1.08870393822902	10	1.64884859553527e-06	3.98519279477143e-05	0.000371287128712871	102	NA
USP10	Other	0.390846901459054	10	1.71721109929603e-06	4.87079119360952e-05	0.00045004500450045	NA	19
RPL37	Essential	-1.32108320474692	10	1.9112540072658e-06	5.75638959244762e-05	0.000480271907787794	103	NA
RAD51	Other	-0.485478477064368	10	1.95353530492869e-06	5.75638959244762e-05	0.000480271907787794	104	NA
SF3B2	Essential	-0.829732872191669	10	2.07595633416278e-06	5.75638959244762e-05	0.000480271907787794	105	NA
PRPF31	Essential	-1.2820369623004	10	2.25068893993282e-06	5.75638959244762e-05	0.000480271907787794	106	NA
BARD1	Other	-0.795849386739121	10	2.41195481559495e-06	5.75638959244762e-05	0.000480271907787794	107	NA
SCML2	Other	0.510155888641994	10	2.41195481559495e-06	5.75638959244762e-05	0.000480271907787794	NA	20
HUS1	Other	-0.607320993443975	10	2.63772943729206e-06	5.75638959244762e-05	0.000480271907787794	108	NA
RPL36	Essential	-1.17395833544026	10	2.71732735193337e-06	5.75638959244762e-05	0.000480271907787794	109	NA
CXXC1	Other	-0.786440116519365	10	2.79800595993533e-06	5.75638959244762e-05	0.000480271907787794	110	NA
INTS9	Essential	-0.675842308229447	10	2.93759744153464e-06	5.75638959244762e-05	0.000480271907787794	111	NA
SMN1	Other	-1.10140293678745	10	3.1139381924024e-06	5.75638959244762e-05	0.000480271907787794	112	NA
TLK2	Other	-0.467395920078633	10	3.24712958538295e-06	5.75638959244762e-05	0.000480271907787794	113	NA
SF3B4	Essential	-1.09899644137257	10	3.52613837741236e-06	5.75638959244762e-05	0.000480271907787794	114	NA
SMNDC1	Other	-0.787404497910528	10	3.64100079005077e-06	6.64198799128571e-05	0.00054202500542025	115	NA
PHF6	Other	0.430717172716163	10	4.0144683060581e-06	6.64198799128571e-05	0.00054202500542025	NA	21
WDR5	Other	-0.807334455489359	10	4.16381734641712e-06	6.64198799128571e-05	0.00054202500542025	116	NA
POLR2I	Essential	-1.13751972422343	10	4.68307734479253e-06	7.52758639012381e-05	0.000584433443344334	117	NA
PRPF18	Essential	-1.15685292827698	10	4.71825007683317e-06	7.52758639012381e-05	0.000584433443344334	118	NA
SRSF2	Other	-1.57056766651861	10	4.72599246656197e-06	7.52758639012381e-05	0.000584433443344334	119	NA
USP16	Other	0.576388213314732	10	4.82366672659756e-06	7.52758639012381e-05	0.000584433443344334	NA	22
BRPF1	Other	0.579111846918709	10	4.90546279317206e-06	7.52758639012381e-05	0.000584433443344334	NA	23
METTL3	Other	-0.559196386660298	10	4.96884025333166e-06	7.52758639012381e-05	0.000584433443344334	120	NA
TRRAP	Other	-0.768263628472439	10	4.99270485689643e-06	7.52758639012381e-05	0.000584433443344334	121	NA
KAT6A	Other	0.578491486113963	10	5.78785907890296e-06	8.4131847889619e-05	0.000648685558210993	NA	24
HIRA	Other	-0.861489825727836	10	6.74924395029478e-06	9.2987831878e-05	0.000707213578500707	122	NA
EIF3D	Essential	-0.695219802926035	10	6.88519006816985e-06	9.2987831878e-05	0.000707213578500707	123	NA
ANAPC5	Other	-1.1196692759529	10	7.5468543054117e-06	0.000119555783843143	0.000903130853625903	124	NA
CHMP2A	Essential	-1.20293264596122	10	8.4271706585211e-06	0.000128411767831524	0.000950757327388368	125	NA
CDK7	Other	-0.746091931894224	10	8.53499983638714e-06	0.000128411767831524	0.000950757327388368	126	NA
CTR9	Other	-0.918599206072129	10	8.58737783580412e-06	0.000128411767831524	0.000950757327388368	127	NA
RPL13	Essential	-1.32491601504254	10	9.48913187668887e-06	0.000137267751819905	0.00100964043772798	128	NA
CDC34	Other	0.467513921420496	10	1.0927950835715e-05	0.000154979719796667	0.00113246618779525	NA	25
CCT4	Essential	-1.02673294689455	10	1.12020918650017e-05	0.000172691687773429	0.00125369679825125	129	NA
CHAF1B	Other	-1.07007956185914	10	1.16499753442066e-05	0.000181547671761809	0.0013010916476263	130	NA
SAP18	Other	-0.577422899371419	10	1.21800993524397e-05	0.000181547671761809	0.0013010916476263	131	NA
RPS27A	Essential	-1.31180355990384	10	1.39631143178504e-05	0.000208115623726952	0.00148199533329129	132	NA
SAP130	Other	-1.02163245718632	10	1.49994242518409e-05	0.000225827591703714	0.00159794460458704	133	NA
RPL6	Essential	-1.04252082070186	10	1.53848764978117e-05	0.000234683575692095	0.00165016501650165	134	NA
FUBP1	Other	-0.620366822047299	10	1.56953843218139e-05	0.000243539559680476	0.00170173267326733	135	NA
SIN3A	Other	-0.968325129112855	10	2.30480237626879e-05	0.000394091287482952	0.00273660906463317	136	NA
SNRPD2	Essential	-1.01262973457721	10	2.58775653766871e-05	0.00046493915939	0.00318896920366883	137	NA
CHD8	Other	-0.637805589378611	10	2.67653224411228e-05	0.00046493915939	0.00318896920366883	138	NA
SETD8	Other	-1.16517670559536	10	2.69321451791991e-05	0.000473795143378381	0.00322989616034774	139	NA
YY1	Essential	-0.898321698781733	10	2.85670945222713e-05	0.000500363095343524	0.00339033903390339	140	NA
