Gene	Category	PRMT5_biased	DMSO_biased	PRMT5	DMSO	Z	P(-)	FDR(-)	P(+)	FDR(+)	P(replicates)	FDR(replicates)	P(sgRNAs)	FDR(sgRNAs)
ASXL2	Other	-0.02380980659648	0.179028993339672	-0.0180464599038618	0.186103422084925	-2.00080564441638	0.0227066694568931	0.746648719200191	0.977293330543107	0.999999886627587	0.210721892393796	0.914359572128442	0.0607830461042526	0.579005031650706
PRKAG1	Other	-0.0233785422513372	0.17600357720825	-0.0215902437733725	0.179163809476212	-1.96753064410339	0.0245610333247793	0.774789729491845	0.975438966675221	0.999999886627587	0.107394252000386	0.851280295519161	0.131701765883207	0.701779376050813
USP25	Other	0.188245912265406	0.384507281848074	0.18407439348549	0.381565073576334	-1.93555354772486	0.0264612021689864	0.774789729491845	0.973538797831014	0.999999886627587	0.155112302497632	0.885134129299616	0.0863414158947201	0.639269556094682
TDRD10	Other	-0.211342939020188	-0.0155191022889495	-0.211252296691258	-0.0141836764212144	-1.93141787371188	0.0267156982704961	0.774789729491845	0.973284301729504	0.999999886627587	0.226545260715186	0.914359572128442	0.0415212809295241	0.511763552592883
STK11	Other	-0.252832746202404	-0.0387526083985091	-0.240508240959263	-0.0437877745897852	-1.92800638802164	0.0269271658070648	0.774789729491845	0.973072834192935	0.999999886627587	0.30426941543379	0.983715120664115	0.034684461290494	0.493106905627272
AFF1	Other	0.0719294823162903	0.269064734381699	0.073494303958415	0.269042525414526	-1.91651981056004	0.0276494820315494	0.774789729491845	0.972350517968451	0.999999886627587	0.384907576784889	0.989521555239767	0.174972103650437	0.751052691476044
RBM10	Other	-0.697705217764387	-0.529369773206219	-0.714945575703205	-0.519930875770324	-1.91129194713821	0.0279835366783855	0.774789729491845	0.972016463321615	0.999999886627587	0.189109712246926	0.914359572128442	0.00936520306771285	0.30486798679868
SPIN4	Other	0.130359722108434	0.329745248778382	0.132300329767723	0.325512402740958	-1.8936283906832	0.0291371761813833	0.774789729491845	0.970862823818617	0.999999886627587	0.144763567839385	0.885134129299616	0.222316194052321	0.791340976202883
HDAC10	Other	-0.137839412175603	0.0586574683053781	-0.136314178759616	0.0564527526813903	-1.88926654391125	0.0294280610555787	0.774789729491845	0.970571938944421	0.999999886627587	0.0485287707008891	0.793765424626525	0.00242211162082219	0.150338718082335
PRMT6	Other	-0.0955064287296811	0.103931950423741	-0.0894169224058679	0.101717787756263	-1.87327275631576	0.0305153649634108	0.774789729491845	0.969484635036589	0.999999886627587	0.0617951398752709	0.793765424626525	0.05997715156131	0.579005031650706
EIF3H	Other	-0.120980565304058	0.079840639534382	-0.115616517469129	0.0751656978432867	-1.86981873459223	0.0307544969202587	0.774789729491845	0.969245503079741	0.999999886627587	0.0240087798104733	0.793765424626525	0.00981685825112028	0.30486798679868
BRAF	Other	0.0353800724776538	0.232040037082138	0.039290748356883	0.22944313610449	-1.8636471888443	0.0311856331190814	0.774789729491845	0.968814366880919	0.999999886627587	0.0242458029615089	0.793765424626525	0.183411856391364	0.758594863176354
USP33	Other	0.0432800272540385	0.233863969892695	0.0465518727623215	0.231909239580584	-1.81666180319078	0.034634456912401	0.785133783474016	0.965365543087599	0.999999886627587	0.0440021466939103	0.793765424626525	0.301975770027808	0.83033303330333
CDK12	Other	-0.709957951853826	-0.547173561983011	-0.729887716498406	-0.546266229804292	-1.79965228471668	0.0359577798818141	0.785133783474016	0.964042220118186	0.999999886627587	0.0965988077545695	0.844646630198514	0.0712773871304841	0.605683901723506
SETD1B	Other	-0.0886505431009765	0.104634591827281	-0.0818011340280427	0.101370765435816	-1.79524687549956	0.0363071875019327	0.785133783474016	0.963692812498067	0.999999886627587	0.0611024531802189	0.793765424626525	0.00764714217396695	0.26717202970297
TRAF7	Other	-0.276189375267614	-0.083614333625864	-0.26684713251053	-0.0842599133212019	-1.78951771840355	0.0367657382823257	0.785133783474016	0.963234261717674	0.999999886627587	0.254379057053499	0.964053511138347	0.108747055385324	0.682539248399978
SUPT6H	Essential	-0.93689409396218	-0.803616946723758	-0.965040425513534	-0.782881675280377	-1.78531924264236	0.0371047746873241	0.785133783474016	0.962895225312676	0.999999886627587	0.198615448812473	0.914359572128442	0.132330540746382	0.701779376050813
CHRAC1	Other	0.0650082661114832	0.246295285762982	0.066878848798635	0.246612305928754	-1.76155431367789	0.0390723143514469	0.785133783474016	0.960927685648553	0.999999886627587	0.158993929680673	0.885134129299616	0.100688109955897	0.674298679867987
GLYR1	Other	0.0334299660915351	0.217030038946775	0.036804120475115	0.216060172265707	-1.75687632075121	0.0394694462826313	0.785133783474016	0.960530553717369	0.999999886627587	0.0801037249112177	0.82922189306242	0.0764758497316637	0.60870883006668
KAT2B	Other	0.222787681898914	0.40585067236919	0.224536649341018	0.40212305823045	-1.74051584667392	0.0408842399889634	0.785133783474016	0.959115760011037	0.999999886627587	0.0680789634569211	0.793765424626525	0.0785215820329797	0.60870883006668
MAP3K19	Other	-0.211208120781939	-0.0324425990863881	-0.212451135354536	-0.0368367330460907	-1.72119257549653	0.0426079423228589	0.785133783474016	0.957392057677141	0.999999886627587	0.0107275036850688	0.793765424626525	0.271865424467313	0.80929432465793
HIST1H1B	Other	-0.147074021885837	0.0328945018380862	-0.147493623874758	0.0274500961840606	-1.71462070342048	0.0432073952079989	0.785133783474016	0.956792604792001	0.999999886627587	0.0723462259356888	0.800343500630266	0.115468747232505	0.697805726518598
KDM2B	Other	0.0113569817789066	0.192672268549782	0.0140161963771144	0.187526936122116	-1.70057923547472	0.0445110130123473	0.785133783474016	0.955488986987653	0.999999886627587	0.198897152749643	0.914359572128442	0.272901574593953	0.80929432465793
CASP8	Other	0.00533998744857447	0.185496601277553	0.00937511481439254	0.180466492478944	-1.67687242333346	0.046783715858338	0.785133783474016	0.953216284141662	0.999999886627587	0.0940463309774892	0.844646630198514	0.079575444127597	0.60870883006668
CCND1	Other	-0.0523317313612238	0.122507366691172	-0.0488169630265129	0.122016163361868	-1.6743418742524	0.0470317146507465	0.785133783474016	0.952968285349253	0.999999886627587	0.00614876599370571	0.793765424626525	0.101989939602189	0.674702677368329
PSMD7	Essential	-1.41261457016661	-1.32883896839366	-1.45252597523266	-1.28174867577372	-1.67379483809792	0.0470854635912295	0.785133783474016	0.952914536408771	0.999999886627587	0.0332953714841275	0.793765424626525	0.261911298464372	0.800045988205378
CHD3	Other	-0.0323332629280218	0.143940144994738	-0.0296415095544056	0.141030074043542	-1.67275895096179	0.0471873794174354	0.785133783474016	0.952812620582565	0.999999886627587	0.0561211638380712	0.793765424626525	0.123341716998176	0.701779376050813
PCGF3	Other	0.106027007276	0.276200368149527	0.107851000671661	0.278467368502035	-1.67221790345191	0.0472406806690183	0.785133783474016	0.952759319330982	0.999999886627587	0.0180930220147955	0.793765424626525	0.028432136594697	0.468144640551012
SUPT3H	Other	-0.026293125754849	0.152523621331947	-0.0201906916182211	0.150244188283843	-1.67043954201643	0.0474162158581813	0.785133783474016	0.952583784141819	0.999999886627587	0.280754470569264	0.964620626705594	0.0270948830124515	0.466641279512567
USP9X	Other	-0.392206377163768	-0.218138866067132	-0.387206258982535	-0.217138140638126	-1.6668457238698	0.0477725428322177	0.785133783474016	0.952227457167782	0.999999886627587	0.162544574558704	0.885134129299616	0.164955985759578	0.73478936128907
SIN3B	Other	-0.630579705218971	-0.479453891877184	-0.64305345863578	-0.47374870323778	-1.65936569344676	0.048521062457328	0.785133783474016	0.951478937542672	0.999999886627587	0.209972856622806	0.914359572128442	0.260618324802069	0.800045988205378
AKT3	Other	-0.0713024174041792	0.107233020682027	-0.0659934746501574	0.103226285241294	-1.65853284063697	0.0486049823017118	0.785133783474016	0.951395017698288	0.999999886627587	0.175019105283117	0.903347999067755	0.320422784675605	0.833253116978364
BRD1	Other	-0.0161241711931458	0.158288474376252	-0.0145718446322615	0.154643142145315	-1.65848606991386	0.0486096984484299	0.785133783474016	0.95139030155157	0.999999886627587	0.128193947618672	0.884696502701701	0.275469809950584	0.814749332076065
FBXO21	Other	-0.0848827594678332	0.0942110670967232	-0.0803698028101365	0.0888062285864455	-1.65810435445813	0.0486482025751394	0.785133783474016	0.951351797424861	0.999999886627587	0.109902748960205	0.851280295519161	0.0800359552949928	0.60870883006668
ERG	Other	0.0651325998305084	0.233884438423553	0.0700161847852311	0.239112000262691	-1.6573183358044	0.0487275660767036	0.785133783474016	0.951272433923296	0.999999886627587	0.399974417387581	0.989521555239767	0.106391363644415	0.677402115211521
NAT1	Other	-0.0634589830811124	0.109367872205702	-0.0593257941403821	0.109536347674825	-1.65502861751124	0.0489593465361221	0.785133783474016	0.951040653463878	0.999999886627587	0.151858219171275	0.885134129299616	0.223290352291043	0.791340976202883
PIAS1	Other	-0.418064764909271	-0.253667379927104	-0.421344607136369	-0.253189700524938	-1.64809857084682	0.0496662227732321	0.785133783474016	0.950333777226768	0.999999886627587	0.0574012943460259	0.793765424626525	0.0385456703094281	0.50489293115358
SFMBT2	Other	0.0400569619258803	0.216594557559192	0.044944019084016	0.212879375544786	-1.64594724582633	0.0498873103253894	0.785133783474016	0.950112689674611	0.999999886627587	0.187114286770972	0.914359572128442	0.227753768221187	0.791340976202883
YWHAE	Other	-0.0555607842354725	0.114898621198002	-0.0521793504176371	0.114079197876302	-1.62951656084155	0.051601855973247	0.785133783474016	0.948398144026753	0.999999886627587	0.0895277551868263	0.840951335454301	0.0174330044811279	0.38980198019802
TAF6L	Other	-0.123728453166039	0.052057072862646	-0.117364668918973	0.04869807473687	-1.62759791302556	0.0518050859722374	0.785133783474016	0.948194914027763	0.999999886627587	0.133565182233771	0.885134129299616	0.256597708071344	0.796878437843784
TUBB	Other	-0.418311178183913	-0.253617771635149	-0.419799245575783	-0.254526159099713	-1.61986023102742	0.0526311521906545	0.785133783474016	0.947368847809345	0.999999886627587	0.0859241518840029	0.838496546294035	0.124962362068049	0.701779376050813
TADA1	Other	0.168156332026083	0.334503814359479	0.167672114426231	0.332885804917838	-1.61927822246534	0.0526937070804904	0.785133783474016	0.94730629291951	0.999999886627587	0.0302058985330418	0.793765424626525	0.11954249986716	0.701191212871287
ERBB2	Other	0.0239614930394297	0.189219724049859	0.0270288284464928	0.191165393655304	-1.60872370194184	0.0538383853580783	0.785133783474016	0.946161614641922	0.999999886627587	0.199201908582069	0.914359572128442	0.0199126799978746	0.42033370003667
OGT	Other	-1.5714026103846	-1.48169312361727	-1.60398933051262	-1.44115227291574	-1.59599010448609	0.0552455013356788	0.785133783474016	0.944754498664321	0.999999886627587	0.0659463071794161	0.793765424626525	0.247794859986893	0.793467590385101
PRDM1	Other	-0.0370182004010783	0.131023481798791	-0.0370387681699058	0.12564725823939	-1.59451018214602	0.0554109060013082	0.785133783474016	0.944589093998692	0.999999886627587	0.289702141835235	0.964620626705594	0.167595068988115	0.73478936128907
ZMYM2	Other	-0.0806496703638599	0.0824279337137065	-0.07735370272668	0.0852702121900712	-1.5939015649004	0.0554790419449439	0.785133783474016	0.944520958055056	0.999999886627587	0.145573042829788	0.885134129299616	0.123563116597885	0.701779376050813
MAP2K2	Other	0.162309657134091	0.331864997453288	0.16689273561958	0.327790231718192	-1.57698475574253	0.0573995163857537	0.802158241490908	0.942600483614246	0.999999886627587	0.215111776061965	0.914359572128442	0.0587373138029366	0.579005031650706
CBX7	Other	0.136862878645389	0.302099258386133	0.140243035393809	0.298918244420352	-1.55520903950426	0.0599481460681007	0.810724822661213	0.940051853931899	0.999999886627587	0.0910153055366462	0.840951335454301	0.233758125365309	0.791340976202883
RAD21	Other	-1.29151361227556	-1.2114740738378	-1.33346850761342	-1.17587915795687	-1.54456893552633	0.0612252824887337	0.810724822661213	0.938774717511266	0.999999886627587	0.0862496447440197	0.838496546294035	0.372974193662658	0.873555242553544
RNF40	Other	-0.22493920836746	-0.0747592344830916	-0.234260386893321	-0.0768979856574078	-1.54234511643893	0.0614948754478225	0.810724822661213	0.938505124552177	0.999999886627587	0.312456136228342	0.983715120664115	0.11817867833295	0.701191212871287
EAF1	Other	0.198891616898998	0.36552971685039	0.199986378207715	0.357332352124775	-1.5421841486511	0.0615144254547205	0.810724822661213	0.938485574545279	0.999999886627587	0.0754943058577708	0.803834609037979	0.249973432048035	0.793467590385101
RNF168	Other	0.0258325131592485	0.197280343019786	0.0293794019211361	0.186621389320245	-1.54116520697792	0.0616382915261208	0.810724822661213	0.938361708473879	0.999999886627587	0.27909988610982	0.964620626705594	0.0613409730955206	0.579005031650706
MYBL1	Other	0.204806361770608	0.364979582596445	0.207039768034058	0.363531363691725	-1.53381227862111	0.0625379207013135	0.810747070461592	0.937462079298687	0.999999886627587	0.105467272982416	0.844646630198514	0.0889716431392692	0.650132660324856
USP22	Other	0.439804966015123	0.626478851352026	0.451100944027677	0.606577029039786	-1.52386150676426	0.0637716554917419	0.810747070461592	0.936228344508258	0.999999886627587	0.0138519293578763	0.793765424626525	0.00944490692360828	0.30486798679868
ASH1L	Other	-0.159946977191073	-0.0026296936815325	-0.156362979137065	-0.00167331148508802	-1.5161555710666	0.0647400096734833	0.810747070461592	0.935259990326517	0.999999886627587	0.231797762427289	0.926409565468802	0.0722338334012292	0.605683901723506
PRKAA2	Other	0.145107240070826	0.301781671031627	0.146281224245819	0.300552174514067	-1.51205264888039	0.065260234705908	0.810747070461592	0.934739765294092	0.999999886627587	0.0199626908324808	0.793765424626525	0.270173931525532	0.80929432465793
SF3B3	Essential	-2.30191256275835	-2.23771737081398	-2.33552207845755	-2.18125564517137	-1.5120083879382	0.0652658643484287	0.810747070461592	0.934734135651571	0.999999886627587	0.162180231153194	0.885134129299616	0.0348438690022848	0.493106905627272
APOBEC1	Nonessential	-1.02321702585519	-0.936161529856232	-1.05852189714497	-0.907901798936004	-1.47627872953848	0.069934540917907	0.835425456488092	0.930065459082093	0.999999886627587	0.0333903014849559	0.793765424626525	0.110155156839476	0.682539248399978
UHRF1	Other	-0.257990048057635	-0.112268576697243	-0.264377077926927	-0.114488905324813	-1.46910674688929	0.0709019190320168	0.835425456488092	0.929098080967983	0.999999886627587	0.223765620500242	0.914359572128442	0.195394002727643	0.769603615413806
BRD4	Other	-0.266723993442596	-0.115611128151304	-0.267472420008761	-0.117921933523169	-1.46579783277851	0.0713516858350032	0.835425456488092	0.928648314164997	0.999999886627587	0.0648773627415312	0.793765424626525	0.428997148373156	0.916539368222537
RPL4	Essential	-1.73660667035697	-1.67262690782772	-1.78481094377455	-1.6361014169949	-1.45755744828692	0.0724812828264031	0.835425456488092	0.927518717173597	0.999999886627587	0.284383853617505	0.964620626705594	0.130453072140846	0.701779376050813
CHEK2	Other	0.150902643340598	0.29555399286458	0.147477117603309	0.29558959044501	-1.45170704430671	0.0732915398955216	0.835425456488092	0.926708460104478	0.999999886627587	0.166259541281681	0.885134129299616	0.253108450379922	0.794874290799866
KANSL2	Other	-0.277016943708572	-0.131770445841268	-0.281365499541854	-0.133532572005295	-1.44896783958513	0.0736732820428452	0.835425456488092	0.926326717957155	0.999999886627587	0.280856553618448	0.964620626705594	0.126671566977807	0.701779376050813
NAT2	Other	-0.0190199847828476	0.1345025239429	-0.0160027670299024	0.130969208448602	-1.44053155430652	0.0748585346548575	0.835425456488092	0.925141465345143	0.999999886627587	0.182115486900014	0.913392202943928	0.309919587665386	0.830856144437973
CEBPA	Other	0.028891529184052	0.176194291908835	0.0274167449489403	0.174035265480925	-1.43706812479951	0.0753493186372818	0.835425456488092	0.924650681362718	0.999999886627587	0.43675488877005	0.989521555239767	0.383893621920332	0.884934163519445
TRIM23	Other	0.0838920904821238	0.232108419929586	0.0879702001276005	0.233318106645608	-1.42461764953712	0.0771338776681978	0.835425456488092	0.922866122331802	0.999999886627587	0.12715803594923	0.884696502701701	0.266126746842842	0.806823943849911
LSM4	Essential	-0.768411587121	-0.656452396312847	-0.786637433107519	-0.64138551936447	-1.42367703684369	0.0772699919910187	0.835425456488092	0.922730008008981	0.999999886627587	0.203256202111774	0.914359572128442	0.359566233904249	0.864505482806345
CUL1	Other	-0.0790487245835376	0.0693969099622043	-0.0778472705001758	0.0671358261201775	-1.42104295528988	0.0776521360392567	0.835425456488092	0.922347863960743	0.999999886627587	0.121342819628426	0.8731408504228	0.158181158008466	0.73478936128907
ACTL6A	Other	-0.490022108797479	-0.361432479756777	-0.494108222946599	-0.349349486513353	-1.41884449774989	0.077972178236495	0.835425456488092	0.922027821763505	0.999999886627587	0.308021812467066	0.983715120664115	0.0994836961334774	0.674298679867987
KANSL3	Other	-0.472452432591305	-0.343574383068357	-0.484595444169119	-0.340166174866476	-1.41561611972617	0.0784439645516856	0.835425456488092	0.921556035448314	0.999999886627587	0.182631560244831	0.913392202943928	0.287735347774491	0.826961745017689
FBXO3	Other	0.103068078681167	0.243504822218783	0.103834889829719	0.247792987770083	-1.4109992122107	0.0791224231543142	0.835425456488092	0.920877576845686	0.999999886627587	0.12183360703574	0.8731408504228	0.226195115039232	0.791340976202883
HDAC1	Other	-0.0568043981969696	0.0900507973215198	-0.0595376271922516	0.0843799674792763	-1.4106023293327	0.0791809522086008	0.835425456488092	0.920819047791399	0.999999886627587	0.373169321582723	0.989521555239767	0.0745363892382083	0.60870883006668
IKZF1	Other	0.138749876036813	0.286320778983498	0.136629077860513	0.27960426868849	-1.40136791540979	0.0805520407831524	0.835425456488092	0.919447959216848	0.999999886627587	0.158074827746355	0.885134129299616	0.00330771001966028	0.179396511079679
PTPN22	Other	-0.164015289115396	-0.0191636062287897	-0.167237191817086	-0.0251010841758632	-1.39314591852887	0.0817878349485586	0.835425456488092	0.918212165051441	0.999999886627587	0.324682038553883	0.989521555239767	0.247405196691404	0.793467590385101
HMG20B	Other	0.171964743984225	0.30915859671613	0.170552759506317	0.312559037934879	-1.39187374981139	0.0819803160713744	0.835425456488092	0.918019683928626	0.999999886627587	0.16292440389498	0.885134129299616	0.25650914823146	0.796878437843784
SETD3	Other	0.13970648948201	0.289438112430747	0.143159410018327	0.285138683376232	-1.39160913289352	0.0820203958741861	0.835425456488092	0.917979604125814	0.999999886627587	0.114332337124343	0.869152206692306	0.181197860394268	0.757887542485592
SIAH2	Other	-0.415614159461351	-0.277042390269801	-0.418821642021891	-0.27700580348601	-1.39000766998958	0.0822632741432193	0.835425456488092	0.917736725856781	0.999999886627587	0.101443760189277	0.844646630198514	0.0250048707911936	0.465924092409241
BIRC3	Other	0.168287989760187	0.312105049900544	0.170404453612505	0.31174545798319	-1.38535487145085	0.0829719915031981	0.835425456488092	0.917028008496802	0.999999886627587	0.164232232471246	0.885134129299616	0.23632636072194	0.791340976202883
USP49	Other	-0.229006778857462	-0.0784323254722001	-0.222063647480931	-0.0812019254471355	-1.38065848622803	0.0836919956410253	0.835425456488092	0.916308004358975	0.999999886627587	0.21394437323889	0.914359572128442	0.0990674648860235	0.674298679867987
KDM4A	Other	0.189446993887001	0.339836538948722	0.187297106385507	0.327226090515211	-1.3715187867808	0.0851066455849367	0.842028581981941	0.914893354415063	0.999999886627587	0.356483007398838	0.989521555239767	0.0797437078233763	0.60870883006668
SKP1	Other	-0.0098498811249288	0.136747603703327	-0.00808939585703092	0.130812552555224	-1.36145508320676	0.0866849594454751	0.85006154147983	0.913315040554525	0.999999886627587	0.344377831765641	0.989521555239767	0.201522343647603	0.776413715197023
DMAP1	Other	-1.08469020236994	-1.01756682891506	-1.12119457801843	-0.98277852509642	-1.35669389710711	0.0874392462166194	0.85006154147983	0.912560753783381	0.999999886627587	0.115057716091647	0.869152206692306	0.0330372482686551	0.492475247524752
