Gene	Category	DMSO	PRMT5
CUX1	Other	0.028472089043037	-0.0733383827431731
CXXC1	Other	-0.786440116519365	-0.739691943262545
CYLD	Other	0.119307891077339	-0.00119481024682846
DAPK3	Other	0.0582832570901942	-0.0477274761275371
DAXX	Other	-0.309096058307882	-0.40859230212079
DDX51	Essential	-0.332969432741252	-0.296256751396023
DICER1	Other	0.11426225226514	-0.124946665454906
DIDO1	Other	-0.303880070228366	0.0271696825658127
DMAP1	Other	-1.01756682891506	-1.08469020236994
DNMT1	Other	-0.182021883542254	-0.146240643121844
DNMT3A	Other	-0.363109127767206	-0.381481240395876
DNMT3B	Other	-0.0802875867924436	0.0957902890524223
DNMT3L	Other	0.0507231910353793	-0.0381683711367004
DOT1L	Other	0.288667577874365	0.343962322940892
DPF1	Other	-0.131827152037071	-0.0836752173236018
DPF2	Other	0.0327170391430046	0.043803468869996
DPF3	Other	-0.00678400993621499	-0.0205927911811417
DPY30	Other	-0.215418185547878	-0.309182721107061
DR1	Other	0.349304780014285	0.346437291730291
DTL	Other	-0.835308072116362	-0.856861956525167
DYNC1H1	Essential	-2.0093806549552	-1.82672095067705
DYRK1A	Other	0.248255868188776	0.329200363959863
DYRK1B	Other	-0.054191567787427	-0.0183183551356579
DYRK3	Other	0.333475548472934	0.341509759672743
DZIP3	Other	0.267352893951926	0.24513081568722
E2F6	Other	0.111386642021139	-0.0100583187310971
EAF1	Other	0.36552971685039	0.198891616898998
EAF2	Other	0.176784864557725	0.225823820721896
EED	Other	-0.225312911078981	-0.143585103551363
EEF2	Essential	-1.3621251436366	-1.07734794901212
EEF2KMT	Other	-0.355469679456711	-0.413400684333764
EFTUD2	Essential	-1.78550053501014	-1.66905198405179
EGFR	Other	0.340586906479571	0.275225118562578
EHMT1	Other	0.395148025565793	0.276812359974874
EHMT2	Other	0.30270449067187	0.352927792638023
EID1	Other	0.00417273488862274	0.0261245069246118
EID2	Other	0.0447666370069153	0.00866587286977127
EID2B	Other	0.0641898656485914	0.0680936659555484
EIF3A	Essential	-1.04235408505593	-1.0477938890025
EIF3D	Essential	-0.695219802926035	-0.707047806614649
EIF3G	Essential	-1.52970617349641	-1.43469016124671
EIF3H	Other	0.0798406395343821	-0.120980565304058
EIF4A3	Essential	-2.46445908496063	-2.42068833779445
ELL	Other	-0.746856488324533	-0.843920059436568
ELL2	Other	-0.00715213991406675	-0.0723755638436967
ELL3	Other	0.159344856320438	-0.0533114742305659
ELP2	Other	0.277902964815477	0.284557895596267
ELP3	Other	0.0468477528422764	0.259082257767354
ELP4	Other	0.0179658332200953	0.15257615278975
ELP5	Other	-0.179910162971711	-0.0698625379789831
ELP6	Other	-0.0262468549334936	0.120630572740415
ENY2	Other	-0.0522019442447968	-0.0786380876525023
EP300	Other	1.29250392861095	1.28606760482827
EP400	Other	-0.428940347306632	-0.469900364477579
EPC1	Other	0.336949254182505	0.335383985186311
EPC2	Other	-0.404833326577347	-0.459563445898406
ERBB2	Other	0.189219724049859	0.0239614930394296
ERBB3	Other	-0.102615115673433	-0.113039794130353
ERCC2	Other	-0.291538372797868	-0.404765929088778
ERCC6	Other	0.319765218320543	0.0717228028784523
ERG	Other	0.233884438423553	0.0651325998305082
ESR1	Other	-0.00425065368055765	-0.0130216570033282
ETNK1	Other	-0.0847803506948375	0.0321312993842413
EYA1	Other	0.226705486817279	0.112949692095335
EYA2	Other	0.148599261734124	0.017290510289887
EYA3	Other	0.110677156101674	0.140480357258942
EYA4	Other	0.300580505147355	0.281279004210746
EZH1	Other	0.10117656122545	0.000358346860108667
EZH2	Other	0.345933607434547	0.232102934801279
FBXL19	Other	-0.0720845000683963	-0.0860083113999097
FBXL3	Other	0.286692382643991	0.199943356218848
FBXL6	Other	0.0552860571679852	0.0475005602130964
FBXL7	Other	0.147940680365878	0.0934981818434656
FBXO10	Other	-0.0647393190431322	-0.031596072812592
FBXO11	Other	0.174993808717346	0.200670254676436
FBXO2	Other	0.0350034803429632	-0.0425895925871767
FBXO21	Other	0.0942110670967231	-0.0848827594678331
FBXO22	Other	-0.530937374273641	-0.467975899464872
FBXO25	Other	0.461120904772263	0.451875297889082
FBXO3	Other	0.243504822218783	0.103068078681167
FBXO4	Other	0.194282346986823	0.20882615639697
FBXO6	Other	0.191934020413779	0.183811219151886
FBXO7	Other	0.110544228536413	0.041234251451196
FBXO9	Other	0.159866115231136	0.0401628247210661
FBXW11	Other	-2.25648657987986	-1.92876583910183
FBXW7	Other	-0.0858146158348621	-0.111262563386021
FGFR1	Other	-0.240904013808384	-0.106737742011858
FGFR2	Other	0.073580006992201	0.137327754525308
FGFR3	Other	-0.332876982390523	-0.160280071192748
FLT3	Other	-0.0520841242712209	-0.00669004414236607
FMR1	Other	0.106551350507029	0.131585037836628
FOXA1	Other	-0.175093406309041	-0.126667688493204
FOXL2	Other	0.000624780864824093	0.0202099852807751
FRK	Other	0.20546312789685	0.287167325737394
FTO	Other	0.308071578466652	0.282619389446285
FTSJ3	Essential	-0.936915165216069	-0.917668058749482
FUBP1	Other	-0.620366822047299	-0.69953876936101
FXR1	Other	0.0419907186431463	0.229512691397407
FXR2	Other	0.109612205724784	0.0496304067153375
G2E3	Other	-0.0365881917267126	0.00123105760047571
GADD45A	Other	0.317394018587374	0.252442677050582
GADD45B	Other	0.186367018324777	0.150298171570444
GADD45G	Other	0.0247122606537347	0.0191511461489343
GATA1	Other	0.0782732358961196	0.0612865687488896
GATA2	Other	-0.226759510588865	-0.141549450321861
GATA3	Other	0.131656503364045	0.181721920690513
GATAD1	Other	-0.0557839361063066	-0.149927691854314
GATAD2A	Other	-0.557985282214435	-0.639002723389189
GATAD2B	Other	-0.143222677810949	-0.100984238224467
GFI1	Other	0.0991744040482467	0.0568995987983741
GFI1B	Other	0.0478108121442392	-0.067470726456363
GLYR1	Other	0.217030038946776	0.0334299660915351
GNAQ	Other	0.0468645818817437	0.145128776997512
GNAS	Other	-0.0782654291830477	-0.130682635769962
GSE1	Other	0.0405543458546719	-0.202464248525067
GSG2	Other	-0.22006636505599	-0.119886222745192
GTF2I	Other	-0.055789588908303	-0.128980203685653
GTF3C4	Essential	-0.024371423119574	-0.0114832839375169
H1F0	Other	0.12176725941751	0.126906089650791
H1FNT	Other	0.14092946706387	0.0974765015531496
H1FOO	Nonessential	-0.0594343591072327	-0.0422655760528668
H1FX	Other	0.0882398397746702	0.046254314681602
H2AFJ	Other	-0.163581346610711	-0.107450830932274
H2AFV	Other	0.208612056122965	0.269022733049761
H2AFX	Other	-0.012373926620999	0.0635451007555352
H2AFY	Other	0.0768420703520071	0.0632692953069779
H2AFY2	Other	0.065105499014783	0.108304226018483
H2AFZ	Other	0.00861930712758593	0.12808286388855
H2BFM	Nonessential	0.210773238920416	0.315704705859978
H2BFWT	Nonessential	0.27386248389775	-0.00880876687464282
H3F3A	Other	-0.830536777014647	-1.03377920544774
H3F3B	Other	-0.285535641630732	-0.355567439160866
H3F3C	Other	-0.073236159041654	-0.0836089940919411
HACE1	Other	0.509546293330025	0.434439497416555
HAT1	Other	0.190132605048443	0.0814439902027085
HCFC1	Other	-0.777839992772383	-0.761428752697315
HCFC2	Other	0.0287835192129645	-0.030274871798931
HDAC1	Other	0.0900507973215198	-0.0568043981969694
HDAC10	Other	0.0586574683053781	-0.137839412175603
HDAC11	Other	0.0390741642936992	0.136611691390754
HDAC2	Other	0.636655522065273	0.576877460262712
HDAC3	Other	-0.667677570892101	-0.534846576420058
HDAC4	Other	-0.0678599595834375	0.0820973179129488
HDAC5	Other	0.200756209651409	0.114052116377147
HDAC6	Other	-0.114704062657637	-0.256181392641953
HDAC7	Other	0.057756809751436	0.0736500278345694
HDAC8	Other	0.242892669377018	0.272152603439739
HDAC9	Other	0.328353208846955	0.251263540956447
HDGF	Other	0.172935949931396	0.103832636643303
HDGFL1	Nonessential	0.00796605148954995	-0.108956033917675
HDGFRP2	Other	-0.00966003945795816	-0.413582905060868
HDGFRP3	Other	-0.0966488857099726	-0.159444214422721
HEATR1	Essential	-1.01234570584089	-0.7552463843229
HECTD2	Other	0.00370008284225929	0.0385030113385273
HECTD3	Other	-0.0249779436112326	-0.115564284580841
HELLS	Other	0.412478564903059	0.462443179929696
HERC2	Other	-0.109982044560658	-0.0874186170964579
HERC3	Other	0.326062241236494	0.316659908679446
HERC5	Other	0.0833881257602928	0.159453437356917
HIRA	Other	-0.861489825727836	-0.824523824146417
HIST1H1B	Other	0.0328945018380863	-0.147074021885836
HIST1H1E	Other	-0.305169383598832	-0.406490364820529
HIST1H3B	Other	-0.640319882325372	-0.821990289795301
HIST1H4E	Other	0.0539383648353369	-0.0721706225926917
HJURP	Other	-0.267095689646746	-0.0930639555194232
HLTF	Other	0.2145356863932	0.373380905114553
HMG20A	Other	-0.302928755078537	-0.234985426174753
HMG20B	Other	0.30915859671613	0.171964743984225
HMGN1	Other	-0.0988208977387572	-0.216065702904981
HMGN2	Other	-0.229645998581058	-0.23953762895555
HMGN3	Other	0.301607747165422	0.29380866653722
HMGN4	Other	0.211472532119059	0.200307820375856
HMGN5	Other	0.336681619218111	0.541205951777039
HNF1A	Other	-0.0485165950957096	-0.10780755189283
HNRNPU	Essential	-0.663304414322199	-0.526741301699081
HRAS	Other	0.166980992475538	0.208414043861136
HSPA1A	Other	0.0555917501740886	0.0372065702609969
HSPA1B	Other	-0.0269913457619611	-0.109530853322589
HUS1	Other	-0.607320993443974	-0.342035966122453
HUWE1	Other	-1.17698971598688	-1.34989994202367
IDH1	Other	0.175002801766404	-0.0585344933154317
IKBKB	Other	-0.066289900663487	-0.158204931715963
IKZF1	Other	0.286320778983499	0.138749876036813
ING1	Other	-0.11254452540962	-0.0608448486552481
ING2	Other	0.276820162901814	0.209789334259493
ING3	Other	-0.19970266338999	-0.158765000585037
ING4	Other	-0.0268705635937678	0.0397390333134622
ING5	Other	0.0922136728519636	0.0648734279467993
INO80	Other	-0.769096675022136	-0.974433807867716
INO80B	Other	-0.507722057095107	-0.749454307639782
INO80C	Other	-0.102473583915591	-0.1843315056856
INO80D	Other	-0.166695620900955	-0.306417148829614
INO80E	Other	0.0207572030621714	-0.0437830080457323
INTS12	Other	-0.0978023700951093	-0.0154415714767568
INTS9	Essential	-0.675842308229447	-0.653439358779343
ITCH	Other	0.362537894191312	0.327527147617245
JADE1	Other	0.137919119243463	0.24885842136669
JADE2	Other	0.0691874860382706	0.0976450679932585
JADE3	Other	0.0300776664454023	0.0728978921645079
JAK1	Other	-0.0651310098891502	0.106442925812011
JAK2	Other	0.239703950932202	0.256657423695185
JAK3	Other	-0.130226189750339	-0.249683015336924
JARID2	Other	0.0842920283469927	0.0531252477449419
JMJD1C	Other	-0.0965618406650696	0.0129492488251432
JMJD4	Other	0.0630378506680224	0.292462260934724
JMJD6	Other	-0.059442082353603	0.0154829398561848
JMJD7	Other	0.0183343990115266	-0.0523557694594035
JMJD8	Other	0.110280522575226	0.0100502445110209
KANSL1	Other	-0.496169302561632	-0.590023236310407
KANSL2	Other	-0.131770445841268	-0.277016943708572
KANSL3	Other	-0.343574383068357	-0.472452432591304
KAT2A	Other	0.160554040719755	0.166847632610869
KAT2B	Other	0.40585067236919	0.222787681898914
KAT5	Other	-1.31624842079508	-1.11661970320464
KAT6A	Other	0.578491486113963	0.412152659152968
KAT6B	Other	0.0410513989295474	0.0260796917305396
KAT7	Other	0.431805964622628	0.224034317177358
KAT8	Other	-0.407019539688328	-0.245358469085892
KDM1A	Other	0.15827149990978	0.220457113300969
KDM1B	Other	0.26456293381862	0.318042861677786
KDM2A	Other	-0.447008754844783	-0.560093528549054
KDM2B	Other	0.192672268549782	0.0113569817789065
KDM3A	Other	0.121581830235996	0.107097462647856
KDM3B	Other	-0.109633528556118	-0.0967819731857077
KDM4A	Other	0.339836538948722	0.189446993887001
KDM4B	Other	0.148728417261892	0.030952347092493
KDM4C	Other	0.265966413888507	0.257479936692833
KDM4D	Other	0.243237410347269	0.152908295126058
KDM4E	Other	0.143688380781026	0.197403234649062
KDM5A	Other	-0.325317053344638	-0.364934100878238
KDM5B	Other	0.0434597797727404	0.0741259934178539
KDM5C	Other	0.445147837841318	0.326731946315214
KDM5D	Other	0.368753861915488	0.261554869996047
KDM6A	Other	-0.0198719819821669	0.247399379884942
KDM6B	Other	0.0980691875364725	0.135171114393183
KDM7A	Other	0.139846593997804	0.252881706462197
KDM8	Other	0.36828113191812	0.261691384936355
KDR	Other	-0.119381005092157	0.0541560623354004
KEAP1	Other	-0.162826266480338	-0.264553644537233
KLF4	Other	0.164727402223001	0.166253070590819
